Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
V Singh,12,8,17.2,0,135,3,45,7.78,34.6,0,0
S Whittingham,3,3,10,0,79,3,26.33,7.9,20,0,0
S Wickramasekara,5,5,15.3,1,93,3,31,6,31,0,0
Z Hassan,3,3,9,0,56,3,18.66,6.22,18,0,0
C Zavoiu,3,1,1,0,4,3,1.33,4,2,0,0
Z Haider,5,5,13,0,60,3,20,4.61,26,0,0
A Yamin,2,2,6,0,37,2,18.5,6.16,18,0,0
A Jones,8,3,7,0,28,2,14,4,21,0,0
A Achar,3,3,6,0,44,2,22,7.33,18,0,0
A Hassan,11,5,7.3,0,81,2,40.5,10.8,22.5,0,0
A Naqi,4,4,10,0,65,2,32.5,6.5,30,0,0
A Uddin,6,2,2.3,0,14,2,7,5.6,7.5,0,0
D Ankrah,4,4,12,1,85,2,42.5,7.08,36,0,0
A Mustafizur,2,1,3,0,30,2,15,10,9,0,0
A Ilyas,22,4,9,0,59,2,29.5,6.55,27,0,0
S Arachchige,4,4,6,0,42,2,21,7,18,0,0
J Archer,1,1,4,0,29,2,14.5,7.25,12,0,0
A Ahmed,12,2,6,0,34,2,17,5.66,18,0,0
A Kamal,4,4,14,0,90,2,45,6.42,42,0,0
A Mohammad,3,3,12,0,84,2,42,7,36,0,0
M Bacarese,3,3,12,0,51,2,25.5,4.25,36,0,0
J Ball,2,2,7,0,83,2,41.5,11.85,21,0,0
G Banner,3,1,3.3,0,10,2,5,2.85,10.5,0,0
W Barresi,42,3,5.4,0,49,2,24.5,8.64,17,0,0
P Chandran,3,2,4,0,45,2,22.5,11.25,12,0,0
F Cossa,6,5,14,0,110,2,55,7.85,42,0,0
D Ahir,2,2,3,0,27,2,13.5,9,9,0,0
N Patel,3,3,10,0,42,2,21,4.2,30,0,0
K Dorji,2,2,7,0,69,2,34.5,9.85,21,0,0
E Nawaz,5,5,7.4,0,79,2,39.5,10.3,23,0,0
F Mohon,4,4,14,2,85,2,42.5,6.07,42,0,0
V Ganesan,4,4,9,1,44,2,22,4.88,27,0,0
D Gim,6,4,6,0,65,2,32.5,10.83,18,0,0
H Farooq,4,1,2,0,14,2,7,7,6,0,0
L Harrington-Myers,4,2,4,0,26,2,13,6.5,12,0,0
I Ashraf,3,3,9,0,78,2,39,8.66,27,0,0
J Jojo,7,5,17,0,98,2,49,5.76,51,0,0
J Sheikh,5,5,16,1,104,2,52,6.5,48,0,0
D Kegasitswe,4,3,12,0,156,2,78,13,36,0,0
A Kitchen,5,3,6,0,46,2,23,7.66,18,0,0
K Lal,8,4,9,0,100,2,50,11.11,27,0,0
L Ali,2,2,7,1,40,2,20,5.71,21,0,0
D Madushanka,2,2,5.1,0,62,2,31,12,15.5,0,0
R Mahajan,3,3,10,0,93,2,46.5,9.3,30,0,0
P Manning,6,4,8,0,53,2,26.5,6.62,24,0,0
B Masaba,1,1,4,0,14,2,7,3.5,12,0,0
H Masakadza,66,9,12,0,113,2,56.5,9.41,36,0,0
B Mavuta,3,3,12,0,81,2,40.5,6.75,36,0,0
Z McLaughlin,3,3,7.1,0,54,2,27,7.53,21.5,0,0
M Taiwo,2,2,8,0,41,2,20.5,5.12,24,0,0
M Adnan,5,5,17,0,120,2,60,7.05,51,0,0
M Hub,4,3,9,0,39,2,19.5,4.33,27,0,0
M Rafique,2,2,5,0,63,2,31.5,12.6,15,0,0
S Murari,3,3,10,0,52,2,26,5.2,30,0,0
L Musiani,5,4,15,1,69,2,34.5,4.6,45,0,0
R Ngarava,1,1,4,0,48,2,24,12,12,0,0
F Nsubuga,3,3,8,0,46,2,23,5.75,24,0,0
L Nussbaumer,1,1,4,0,44,2,22,11,12,0,0
E Packard,4,4,11,0,79,2,39.5,7.18,33,0,0
N Param,8,3,8,0,55,2,27.5,6.87,24,0,0
H Patel,7,5,13,0,104,2,52,8,39,0,0
N Pathan,4,4,6,0,60,2,30,10,18,0,0
R Powell,23,4,8,0,74,2,37,9.25,24,0,0
A Pusthay,5,4,10,0,90,2,45,9,30,0,0
S Rakshit,7,5,12.5,0,99,2,49.5,7.71,38.5,0,0
S Ravikumar,3,3,6.2,0,56,2,28,8.84,19,0,0
S Runsewe,6,2,2.3,0,23,2,11.5,9.2,7.5,0,0
S Khan,3,3,12,0,63,2,31.5,5.25,36,0,0
T Saha,4,4,10,0,88,2,44,8.8,30,0,0
S Liaqat,2,2,8,0,72,2,36,9,24,0,0
S Goud,12,2,6,0,48,2,24,8,18,0,0
S Zulfiqar,6,4,9,0,61,2,30.5,6.77,27,0,0
S Ali,2,2,7,0,36,2,18,5.14,21,0,0
S Ali,4,3,8,0,60,2,30,7.5,24,0,0
P Sarraf,9,6,11,1,58,2,29,5.27,33,0,0
S Muhammad,2,2,7,1,21,2,10.5,3,21,0,0
L Simango,3,3,6.1,0,55,2,27.5,8.91,18.5,0,0
O Smith,2,2,7,0,78,2,39,11.14,21,0,0
C Sole,4,4,16,0,141,2,70.5,8.81,48,0,0
A Stephen,2,2,7,0,29,2,14.5,4.14,21,0,0
M Swepson,1,1,4,0,37,2,18.5,9.25,12,0,0
T Taylor,6,4,9,0,74,2,37,8.22,27,0,0
T Turan,4,3,8.1,0,111,2,55.5,13.59,24.5,0,0
S Vashisht,3,3,9,1,31,2,15.5,3.44,27,0,0
W Maqsood,1,1,1.5,0,21,2,10.5,11.45,5.5,0,0
C Wright,6,4,7,0,53,2,26.5,7.57,21,0,0
H France,6,6,13,0,82,2,41,6.3,39,0,0
Z Tashnam,3,2,8,1,35,2,17.5,4.37,24,0,0
S Zargar,1,1,3,0,22,2,11,7.33,9,0,0
Z Rahman,1,1,4,0,42,2,21,10.5,12,0,0
A Idrees,6,3,7,0,67,1,67,9.57,42,0,0
N Advani,1,1,3,0,12,1,12,4,18,0,0
A (2),1,1,1,0,10,1,10,10,6,0,0
J Allen,2,2,2,0,19,1,19,9.5,12,0,0
T Allen,5,2,3,0,28,1,28,9.33,18,0,0
A Mangal,9,5,6.4,0,57,1,57,8.55,40,0,0
A Haque,9,1,1,0,13,1,13,13,6,0,0
B Arora,4,4,11.1,0,75,1,75,6.71,67,0,0
A Mohammad,9,8,24,0,158,1,158,6.58,144,0,0
A Afghan,66,1,0.4,0,4,1,4,6,4,0,0
A Banner,3,2,8,0,39,1,39,4.87,48,0,0
S Bhudia,4,4,9,0,63,1,63,7,54,0,0
C Blake,3,3,8,0,49,1,49,6.12,48,0,0
D Brangman,5,5,7,0,84,1,84,12,42,0,0
A Carthew,4,1,2,0,19,1,19,9.5,12,0,0
R Chahar,1,1,3,0,27,1,27,9,18,0,0
C Singh,3,2,5,0,35,1,35,7,30,0,0
M Crane,2,2,8,0,62,1,62,7.75,48,0,0
H Dajc,2,1,4,0,36,1,36,9,24,0,0
M Dixit,3,3,9,0,93,1,93,10.33,54,0,0
K Ebanks,5,5,11,0,104,1,104,9.45,66,0,0
F Khan,4,1,2,0,21,1,21,10.5,12,0,0
F Ahmad,3,3,5,0,56,1,56,11.2,30,0,0
K Flowers,3,1,2,0,16,1,16,8,12,0,0
C Floyd,2,2,5,0,51,1,51,10.2,30,0,0
C Fry,3,3,7,1,62,1,62,8.85,42,0,0
M Garratt,4,1,2.5,0,12,1,12,4.23,17,0,0
N Greenwood,8,2,2,0,14,1,14,7,12,0,0
L Gregory,5,2,4,0,29,1,29,7.25,24,0,0
H Singh,3,1,1,0,12,1,12,12,6,0,0
H Arshad,10,8,13.5,0,108,1,108,7.8,83,0,0
H Mughal,4,2,3,0,31,1,31,10.33,18,0,0
T Head,16,3,4,0,39,1,39,9.75,24,0,0
R Hekure,8,6,4.5,0,37,1,37,7.65,29,0,0
S Hongsi,3,2,3,0,35,1,35,11.66,18,0,0
A Husain,5,4,10,0,51,1,51,5.1,60,0,0
G Hyde,3,2,5,0,43,1,43,8.6,30,0,0
I Rizan,5,4,8.1,0,63,1,63,7.71,49,0,0
I Mir,4,4,15,0,73,1,73,4.86,90,0,0
E Isaneez,3,3,9.2,0,53,1,53,5.67,56,0,0
I Ullah,4,2,4,0,16,1,16,4,24,0,0
J Singh,5,2,5,0,53,1,53,10.6,30,0,0
D Kansonkho,7,3,7.3,0,60,1,60,8,45,0,0
N Khanna,2,2,4,0,47,1,47,11.75,24,0,0
B Khumalo,3,3,11,0,96,1,96,8.72,66,0,0
J Kiani,4,1,4,0,26,1,26,6.5,24,0,0
H Lakov,3,3,12,1,72,1,72,6,72,0,0
C Liyanage,2,2,5,0,47,1,47,9.4,30,0,0
J Long,2,1,2,0,26,1,26,13,12,0,0
N Lyon,2,2,5,0,48,1,48,9.6,30,0,0
O McCoy,2,1,3,0,44,1,44,14.66,18,0,0
M Data,2,2,5,0,31,1,31,6.2,30,0,0
A Makesh,4,4,9,1,79,1,79,8.77,54,0,0
D Malan,9,1,2,0,27,1,27,13.5,12,0,0
W Malinda,3,1,4,0,27,1,27,6.75,24,0,0
O Marshall,3,2,3,0,22,1,22,7.33,18,0,0
T Maruma,13,2,3,0,20,1,20,6.66,18,0,0
W Mashinge,2,2,5,0,57,1,57,11.4,30,0,0
N Master,2,1,4,0,30,1,30,7.5,24,0,0
M Haque,4,1,3,0,25,1,25,8.33,18,0,0
D Michael,4,1,3,0,32,1,32,10.66,18,0,0
S Mire,9,5,12,0,115,1,115,9.58,72,0,0
M Boota,16,1,1,0,13,1,13,13,6,0,0
M Montfort,1,1,3,0,25,1,25,8.33,18,0,0
M Tanveer,15,3,8,0,63,1,63,7.87,48,0,0
D Muhumuza,4,3,5,0,35,1,35,7,30,0,0
E Munaweera,13,5,10,0,92,1,92,9.2,60,0,0
M Ekrami,3,3,5,0,37,1,37,7.4,30,0,0
N Naureen,1,1,3,1,32,1,32,10.66,18,0,0
N Ahmed,7,5,9,0,56,1,56,6.22,54,0,0
N Ali,2,2,3,0,16,1,16,5.33,18,0,0
A Ndlovu,3,3,11,0,90,1,90,8.18,66,0,0
R Neale,3,1,3,0,30,1,30,10,18,0,0
D Nikolov,3,2,4,0,36,1,36,9,24,0,0
K Nima,1,1,3,0,22,1,22,7.33,18,0,0
N Kamawi,1,1,3,0,28,1,28,9.33,18,0,0
E Ochieng,2,2,4,0,30,1,30,7.5,24,0,0
A Oyede,8,3,8,0,44,1,44,5.5,48,0,0
R Palmer,2,2,4,0,27,1,27,6.75,24,0,0
P Rasool,1,1,4,0,32,1,32,8,24,0,0
A Patel,2,2,6,0,45,1,45,7.5,36,0,0
J Pitcher,3,3,7,0,50,1,50,7.14,42,0,0
S Pokhriyal,5,1,2,0,22,1,22,11,12,0,0
Q Zia,3,3,9,0,68,1,68,7.55,54,0,0
R Kapur,4,3,7,0,49,1,49,7,42,0,0
R Singh,2,2,6,0,72,1,72,12,36,0,0
J Reb,2,1,3,0,40,1,40,13.33,18,0,0
G Reynold,3,3,8,1,49,1,49,6.12,48,0,0
R Shah,4,3,7.4,0,58,1,58,7.56,46,0,0
R Rivas,3,1,4,0,45,1,45,11.25,24,0,0
S Zakhil,3,3,9,0,69,1,69,7.66,54,0,0
S Saeed,5,5,11,0,95,1,95,8.63,66,0,0
I Sawmy,2,1,3,0,12,1,12,4,18,0,0
S Muhammad,2,1,3,0,29,1,29,9.66,18,0,0
S Ashraf,4,2,4,0,34,1,34,8.5,24,0,0
R Sharma,104,9,11.2,0,113,1,113,9.97,68,0,0
Z Shem,5,3,6,0,72,1,72,12,36,0,0
B Simango,2,1,3,0,21,1,21,7,18,0,0
T Singye,2,2,6,0,65,1,65,10.83,36,0,0
J Singye,2,2,8,0,69,1,69,8.62,48,0,0
J Smuts,8,6,12.4,0,101,1,101,7.97,76,0,0
S Mehmood,3,3,5.3,0,39,1,39,7.09,33,0,0
S Roy,1,1,4,0,44,1,44,11,24,0,0
C Suryawanshi,3,1,2,0,13,1,13,6.5,12,0,0
T Ali,5,3,4,0,37,1,37,9.25,24,0,0
T Islam,2,2,7,0,58,1,58,8.28,42,0,0
B Taylor,38,2,5,0,17,1,17,3.4,30,0,0
J Tucker,5,4,7,0,62,1,62,8.85,42,0,0
C Vorster,1,1,3,0,32,1,32,10.66,18,0,0
W Ghauri,4,2,3.5,0,31,1,31,8.08,23,0,0
W Abbas,2,2,8,0,70,1,70,8.75,48,0,0
T Whiteman,4,2,3.4,0,38,1,38,10.36,22,0,0
J Wildermuth,2,2,3,0,32,1,32,10.66,18,0,0
Y Ebrahim,3,3,7,1,44,1,44,6.28,42,0,0
Z Farid,4,2,4.1,0,35,1,35,8.4,25,0,0
C Zhuwao,7,1,0.2,0,1,1,1,3,2,0,0
Z Sarwar,4,4,7,0,51,1,51,7.28,42,0,0
A Singh,46,43,129,3,2193,33,66.45,17,23,1,1
H Brar,54,49,196,4,2352,59,39.86,12,20,2,1
V Arora,63,60,240,0,3840,52,73.85,16,28,3,0
R Bawa,42,38,152,2,1368,28,48.86,9,33,1,0
N Ellis,50,46,184,4,2208,60,36.8,12,18,3,1
S Sharma,54,49,196,2,2548,50,50.96,13,24,3,0
I Porel,56,53,159,0,954,68,14.03,6,14,2,0
A Taide,47,42,126,4,882,56,15.75,7,14,3,1
W Chatterjee,48,44,132,2,1320,61,21.64,10,13,2,0
R Shepherd,54,50,150,1,900,44,20.45,6,20,1,1
M Jansen,61,57,228,3,2508,67,37.43,11,20,3,1
U Malik,63,60,240,0,2400,78,30.77,10,18,0,1
T Natarajan,53,49,147,0,1323,39,33.92,9,23,3,1
K Tyagi,55,51,204,4,2244,40,56.1,11,31,2,1
S Gopal,46,41,123,4,861,27,31.89,7,27,3,0
F Farooqi,63,59,236,4,2596,78,33.28,11,18,2,0
S Dubey,53,48,144,4,1584,51,31.06,11,17,0,1
J Suchith,42,39,156,0,2028,42,48.29,13,22,3,0
P Krishna,37,34,136,4,2312,28,82.57,17,29,3,0
K Cariappa,54,50,200,2,2800,50,56,14,24,2,0
T Baroka,55,51,153,4,2448,49,49.96,16,19,2,0
K Sen,60,56,168,4,1176,52,22.62,7,19,0,0
A Singh,57,53,212,3,1696,57,29.75,8,22,1,1
W Hasaranga,37,34,136,3,952,25,38.08,7,33,0,0
J Hazlewood,51,48,192,2,2880,57,50.53,15,20,2,0
K Sharma,39,34,102,1,1122,51,22,11,12,3,1
C Milind,44,39,117,0,1638,43,38.09,14,16,1,0
A Gautam,59,56,224,2,1792,47,38.13,8,29,1,1
A Deep,49,45,135,2,945,41,23.05,7,20,1,1
D Sams,63,58,232,4,3944,71,55.55,17,20,3,0
M Ashwin,62,58,232,2,1624,61,26.62,7,23,3,0
R Meredith,53,48,192,4,1728,49,35.27,9,24,2,0
M Markande,46,41,123,3,1107,47,23.55,9,16,0,1
B Thampi,57,54,162,4,1134,67,16.93,7,15,3,1
A Tendulkar,52,48,192,3,1920,32,60,10,36,1,1
H Shokeen,56,51,153,1,1377,45,30.6,9,20,2,0
D Bravo,38,34,136,1,1496,26,57.54,11,31,2,1
R Hangargekar,57,52,208,2,1456,56,26,7,22,2,0
P Solanki,38,33,132,2,1584,48,33,12,16,2,0
M Theekshana,61,57,228,4,1596,57,28,7,24,2,0
K Asif,56,52,156,0,1716,57,30.11,11,16,2,1
T Deshpande,42,37,148,3,1924,26,74,13,34,1,1
M Choudhary,53,48,192,1,1536,50,30.72,8,23,0,0
V Chakravarthy,48,44,132,0,2112,47,44.94,16,17,2,1
S Mavi,44,39,156,4,1872,38,49.26,12,25,1,0
A Sharma,44,39,156,1,2028,50,40.56,13,19,3,1
C Karunaratne,37,34,136,2,816,52,15.69,6,16,1,1
A Roy,58,53,212,2,2756,71,38.82,13,18,2,1
R Dar,55,51,153,0,1683,69,24.39,11,13,3,1
A Nortje,52,47,188,4,1316,63,20.89,7,18,1,1
C Sakariya,38,34,136,3,816,27,30.22,6,30,3,0
K Nagarkoti,53,48,144,3,2304,48,48,16,18,0,1
L Yadav,57,54,216,3,3456,48,72,16,27,0,0
P Dubey,62,58,174,3,2958,47,62.94,17,22,1,1
V Ostwal,57,52,156,1,1092,43,25.4,7,22,2,0
R Bishnoi,47,44,132,1,1056,40,26.4,8,20,0,1
D Chameera,59,56,224,4,3584,55,65.16,16,24,3,1
K Gowtham,46,41,164,1,1148,49,23.43,7,20,3,1
S Nadeem,46,43,172,2,2236,37,60.43,13,28,3,0
A Rajpoot,59,56,224,0,1344,58,23.17,6,23,0,1
K Sharma,37,34,136,1,1088,31,35.1,8,26,0,1
M Yadav,48,43,129,3,774,54,14.33,6,14,2,0
R Tewatia,61,57,228,3,3648,64,57,16,21,2,1
Y Dayal,43,40,160,3,1600,36,44.44,10,27,1,0
R Kishore,39,36,144,0,1440,25,57.6,10,35,0,0
A Joseph,57,54,162,4,1134,57,19.89,7,17,2,1
J Yadav,57,54,216,1,1296,70,18.51,6,19,1,0
D Drakes,43,39,156,4,2496,36,69.33,16,26,3,0
V Aaron,47,43,129,0,1161,60,19.35,9,13,0,1
G Mann,46,43,172,1,1720,47,36.6,10,22,3,1
N Ahmad,54,51,153,0,1683,71,23.7,11,13,3,1
D Nalkande,41,36,144,1,1872,44,42.55,13,20,2,0
P Sangwan,50,47,188,0,1692,50,33.84,9,23,1,0
B Sharma,51,48,144,1,1872,64,29.25,13,14,1,1
S Aravind,59,54,162,2,1944,62,31.35,12,16,1,0
A Choudhary,57,53,212,0,3180,63,50.48,15,20,0,1
R Bhatia,58,53,159,3,1113,48,23.19,7,20,3,1
A Dinda,54,49,196,4,1176,49,24,6,24,0,1
M Gony,56,52,208,1,2912,54,53.93,14,23,0,0
P Kumar,39,35,140,0,980,51,19.22,7,16,3,1
S Jakati,55,50,150,3,900,41,21.95,6,22,0,1
D Kulkarni,42,39,156,3,2496,36,69.33,16,26,3,1
Y Pathan,47,44,132,1,1056,37,28.54,8,21,1,1
C Woakes,56,53,212,3,1484,66,22.48,7,19,3,0
H Amla,62,58,174,3,1392,49,28.41,8,21,1,1
M Sharma,44,39,156,0,936,50,18.72,6,19,1,0
I Abdulla,41,37,111,4,1221,39,31.31,11,17,2,1
A Tare,60,55,220,0,2640,60,44,12,22,2,0
I Sharma,50,47,188,1,1504,61,24.66,8,18,1,0
S Marsh,47,43,172,3,2064,49,42.12,12,21,2,0
G Singh,51,46,138,3,828,42,19.71,6,20,0,0
A Nath,56,52,156,2,1716,53,32.38,11,18,3,1
S Agarwal,39,35,140,0,1260,26,48.46,9,32,3,0
N Singh,62,58,232,4,2552,51,50.04,11,27,0,1
A Bawne,57,54,162,3,2268,69,32.87,14,14,3,1
I Pathan,41,37,111,2,888,44,20.18,8,15,2,0
I Jaggi,38,34,136,2,1088,44,24.73,8,19,1,1
K Khejroliya,41,37,111,3,1887,40,47.18,17,17,3,0
B Laughlin,60,55,220,1,1980,65,30.46,9,20,0,1
H Klaasen,41,37,111,1,1332,50,26.64,12,13,3,0
M Krishna,56,53,159,2,1749,39,44.85,11,24,3,0
S Goswami,39,36,144,3,1728,40,43.2,12,22,2,1
P Chopra,40,36,108,3,1728,31,55.74,16,21,3,0
G Viljoen,61,58,232,0,3248,46,70.61,14,30,1,0
N Naik,45,41,123,0,1476,39,37.85,12,19,0,0
P Barman,42,37,148,0,1332,43,30.98,9,21,1,1
S Lad,60,56,168,1,1176,73,16.11,7,14,3,0
S Warrier,52,47,141,1,1833,38,48.24,13,22,1,0
T Banton,44,41,123,2,1476,49,30.12,12,15,3,1
C Green,56,51,153,1,1836,46,39.91,12,20,1,1
M Kumar,38,35,140,1,1120,21,53.33,8,40,1,0
K Jamieson,52,47,188,2,1316,53,24.83,7,21,3,1
J Saxena,56,53,212,3,1696,58,29.24,8,22,2,1
L Meriwala,56,51,153,0,918,36,25.5,6,26,3,1
K Bharat,53,48,192,2,1344,45,29.87,7,26,1,1
B Sudharsan,45,41,164,4,1804,53,34.04,11,19,1,1
H Rana,41,36,108,3,1404,21,66.86,13,31,1,0
K Kartikeya,41,38,152,2,2280,52,43.85,15,18,2,0
M Pathirana,37,33,132,3,1848,21,88,14,38,0,1
R Yadav,43,39,156,4,2496,38,65.68,16,25,1,1
